Datos de Termopar tipo B. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
2.583, 722.0
2.590, 723.0
2.597, 724.0
2.604, 725.0
2.611, 726.0
2.618, 727.0
2.625, 728.0
2.632, 729.0
2.639, 730.0
2.646, 731.0
2.653, 732.0
2.660, 733.0
2.667, 734.0
2.674, 735.0
2.681, 736.0
2.688, 737.0
2.696, 738.0
2.703, 739.0
2.710, 740.0
2.717, 741.0
2.724, 742.0
2.731, 743.0
2.738, 744.0
2.746, 745.0
2.753, 746.0
2.760, 747.0
2.767, 748.0
2.775, 749.0
2.782, 750.0
2.789, 751.0
2.796, 752.0
2.803, 753.0
2.811, 754.0
2.818, 755.0
2.825, 756.0
2.833, 757.0
2.840, 758.0
2.847, 759.0
2.854, 760.0
2.862, 761.0
2.869, 762.0
2.876, 763.0
2.884, 764.0
2.891, 765.0
2.898, 766.0
2.906, 767.0
2.913, 768.0
2.921, 769.0
2.928, 770.0
2.935, 771.0
2.943, 772.0
2.950, 773.0
2.958, 774.0
2.965, 775.0
2.973, 776.0
2.980, 777.0
2.987, 778.0
2.995, 779.0
3.002, 780.0
3.010, 781.0
3.017, 782.0
3.025, 783.0
3.032, 784.0
3.040, 785.0
3.047, 786.0
3.055, 787.0
3.062, 788.0
3.070, 789.0
3.078, 790.0
3.085, 791.0
3.093, 792.0
3.100, 793.0
3.108, 794.0
3.116, 795.0
3.123, 796.0
3.131, 797.0
3.138, 798.0
3.146, 799.0
3.154, 800.0
3.161, 801.0
3.169, 802.0
3.177, 803.0
3.184, 804.0
3.192, 805.0
3.200, 806.0
3.207, 807.0
3.215, 808.0
3.223, 809.0
3.230, 810.0
3.238, 811.0
3.246, 812.0
3.254, 813.0
3.261, 814.0
3.269, 815.0
3.277, 816.0
3.285, 817.0
3.292, 818.0
3.300, 819.0
3.308, 820.0
3.316, 821.0
3.324, 822.0
3.331, 823.0
3.339, 824.0
3.347, 825.0
3.355, 826.0
3.363, 827.0
3.371, 828.0
3.379, 829.0
3.386, 830.0
3.394, 831.0
3.402, 832.0
3.410, 833.0
3.418, 834.0
3.426, 835.0
3.434, 836.0
3.442, 837.0
3.450, 838.0
3.458, 839.0
3.466, 840.0
3.474, 841.0
3.482, 842.0
3.490, 843.0
3.498, 844.0
3.506, 845.0
3.514, 846.0
3.522, 847.0
3.530, 848.0
3.538, 849.0
3.546, 850.0
3.554, 851.0
3.562, 852.0
3.570, 853.0
3.578, 854.0
3.586, 855.0
3.594, 856.0
3.602, 857.0
3.610, 858.0
3.618, 859.0
3.626, 860.0
3.634, 861.0
3.643, 862.0
3.651, 863.0
3.659, 864.0
3.667, 865.0
3.675, 866.0
3.683, 867.0
3.692, 868.0
3.700, 869.0
3.708, 870.0
3.716, 871.0
3.724, 872.0
3.732, 873.0
3.741, 874.0
3.749, 875.0
3.757, 876.0
3.765, 877.0
3.774, 878.0
3.782, 879.0
3.790, 880.0
3.798, 881.0
3.807, 882.0
3.815, 883.0
3.823, 884.0
3.832, 885.0
3.840, 886.0
3.848, 887.0
3.857, 888.0
3.865, 889.0
3.873, 890.0
3.882, 891.0
3.890, 892.0
