Datos de Termopar tipo C. Ejemplo 1 
x-Minivoltios (mV), y-Temperatura (°C) 
15.716, 864.0
15.735, 865.0
15.754, 866.0
15.773, 867.0
15.792, 868.0
15.811, 869.0
15.830, 870.0
15.849, 871.0
15.868, 872.0
15.887, 873.0
15.906, 874.0
15.925, 875.0
15.944, 876.0
15.963, 877.0
15.982, 878.0
16.001, 879.0
16.020, 880.0
16.038, 881.0
16.057, 882.0
16.076, 883.0
16.095, 884.0
16.114, 885.0
16.133, 886.0
16.152, 887.0
16.171, 888.0
19.190, 889.0
16.208, 890.0
16.227, 891.0
16.246, 892.0
16.265, 893.0
16.284, 894.0
16.303, 895.0
16.322, 896.0
16.340, 897.0
16.359, 898.0
16.378, 899.0
16.397, 900.0
16.416, 901.0
16.435, 902.0
16.453, 903.0
16.472, 904.0
16.491, 905.0
16.510, 906.0
16.529, 907.0
16.547, 908.0
16.566, 909.0
16.585, 910.0
16.604, 911.0
16.623, 912.0
16.641, 913.0
16.660, 914.0
16.679, 915.0
16.698, 916.0
16.716, 917.0
16.735, 918.0
16.754, 919.0
16.773, 920.0
16.791, 921.0
16.810, 922.0
16.829, 923.0
16.848, 924.0
16.866, 925.0
16.885, 926.0
16.904, 927.0
16.923, 928.0
16.941, 929.0
16.960, 930.0
16.979, 931.0
16.997, 932.0
17.016, 933.0
17.035, 934.0
17.053, 935.0
17.072, 936.0
17.091, 937.0
17.109, 938.0
17.128, 939.0
17.147, 940.0
17.165, 941.0
17.184, 942.0
17.203, 943.0
17.221, 944.0
17.240, 945.0
17.258, 946.0
17.277, 947.0
17.296, 948.0
17.314, 949.0
17.333, 950.0
17.352, 951.0
17.370, 952.0
17.389, 953.0
17.407, 954.0
17.426, 955.0
17.444, 956.0
17.463, 957.0
17.482, 958.0
17.500, 959.0
17.519, 960.0
17.537, 961.0
17.556, 962.0
17.574, 963.0
17.593, 964.0
17.611, 965.0
17.630, 966.0
17.648, 967.0
17.667, 968.0
17.686, 969.0
17.704, 970.0
17.723, 971.0
17.741, 972.0
17.760, 973.0
17.778, 974.0
17.796, 975.0
17.815, 976.0
17.833, 977.0
17.852, 978.0
17.870, 979.0
17.889, 980.0
17.907, 981.0
17.926, 982.0
17.944, 983.0
17.963, 984.0
17.981, 985.0
17.999, 986.0
18.018, 987.0
18.036, 988.0
18.055, 989.0
18.073, 990.0
18.092, 991.0
18.110, 992.0
18.128, 993.0
18.147, 994.0
18.165, 995.0
18.184, 996.0
18.202, 997.0
18.220, 998.0
18.239, 999.0
18.257, 1000.0
18.275, 1001.0
18.294, 1002.0
18.312, 1003.0
18.330, 1004.0
18.349, 1005.0
18.367, 1006.0
18.385, 1007.0
18.404, 1008.0
18.422, 1009.0
18.440, 1010.0
18.459, 1011.0
18.477, 1012.0
18.495, 1013.0
18.513, 1014.0
18.532, 1015.0
18.550, 1016.0
18.568, 1017.0
18.587, 1018.0
18.605, 1019.0
18.623, 1020.0
18.641, 1021.0
18.660, 1022.0
18.678, 1023.0
18.696, 1024.0
18.714, 1025.0
18.732, 1026.0
18.751, 1027.0
18.769, 1028.0
18.787, 1029.0
18.805, 1030.0
18.824, 1031.0
18.842, 1032.0
18.860, 1033.0
18.878, 1034.0
18.896, 1035.0
18.914, 1036.0
18.933, 1037.0
18.951, 1038.0
18.969, 1039.0
18.987, 1040.0
19.005, 1041.0
19.023, 1042.0
19.041, 1043.0
19.060, 1044.0
19.078, 1045.0
19.096, 1046.0
19.114, 1047.0
19.132, 1048.0
19.150, 1049.0
19.168, 1050.0
19.186, 1051.0
19.204, 1052.0
19.223, 1053.0
19.241, 1054.0
19.259, 1055.0
19.277, 1056.0
19.295, 1057.0
19.313, 1058.0
19.331, 1059.0
19.349, 1060.0
19.367, 1061.0
19.385, 1062.0
19.403, 1063.0
19.421, 1064.0
19.439, 1065.0
19.457, 1066.0
19.475, 1067.0
19.493, 1068.0
19.511, 1069.0
19.529, 1070.0
19.547, 1071.0
19.565, 1072.0
19.583, 1073.0
19.601, 1074.0
19.619, 1075.0
19.637, 1076.0
19.655, 1077.0
19.673, 1078.0
19.691, 1079.0
19.709, 1080.0
19.727, 1081.0
19.744, 1082.0
19.762, 1083.0
19.780, 1084.0
19.798, 1085.0
19.816, 1086.0
19.834, 1087.0
19.852, 1088.0
19.870, 1089.0
19.888, 1090.0
19.905, 1091.0
19.923, 1092.0
19.941, 1093.0
19.959, 1094.0
19.977, 1095.0
19.995, 1096.0
20.013, 1097.0
20.030, 1098.0
20.048, 1099.0
20.066, 1100.0
20.084, 1101.0
20.102, 1102.0
20.120, 1103.0
20.137, 1104.0
20.155, 1105.0
20.173, 1106.0
20.191, 1107.0
20.208, 1108.0
20.226, 1109.0
20.244, 1110.0
20.262, 1111.0
20.279, 1112.0
20.297, 1113.0
20.315, 1114.0
20.333, 1115.0
20.350, 1116.0
20.368, 1117.0
20.386, 1118.0
20.404, 1119.0
20.421, 1120.0
20.439, 1121.0
20.457, 1122.0
20.474, 1123.0
20.492, 1124.0
20.510, 1125.0
20.527, 1126.0
